DC ID,DC Name,Delivery Date,Weekday,Time Scope,DC Capacity,Orders Delivered,Items Delivered,Service Type,State
DC_009,West Satellite Depot DC_009,2026-04-01,Wednesday,Afternoon,633,354,1075,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-01,Wednesday,Evening,285,185,557,Satellite Depot,West
DC_010,Central Urban Hub DC_010,2026-04-01,Wednesday,Morning,101,89,271,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-01,Wednesday,Afternoon,127,136,403,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-01,Wednesday,Evening,70,76,238,Urban Hub,Central
DC_011,North Regional Center DC_011,2026-04-01,Wednesday,Morning,614,374,1159,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-01,Wednesday,Afternoon,823,518,1594,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-01,Wednesday,Evening,507,343,1097,Regional Center,North
DC_012,South Satellite Depot DC_012,2026-04-01,Wednesday,Morning,591,292,991,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-01,Wednesday,Afternoon,822,607,1616,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-01,Wednesday,Evening,482,335,945,Satellite Depot,South
DC_013,East Urban Hub DC_013,2026-04-01,Wednesday,Morning,332,205,639,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-01,Wednesday,Afternoon,523,321,974,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-01,Wednesday,Evening,261,228,561,Urban Hub,East
DC_014,West Regional Center DC_014,2026-04-01,Wednesday,Morning,680,409,1300,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-01,Wednesday,Afternoon,1236,606,1928,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-01,Wednesday,Evening,785,379,1256,Regional Center,West
DC_015,Central Satellite Depot DC_015,2026-04-01,Wednesday,Morning,2181,296,840,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-01,Wednesday,Afternoon,2887,388,1259,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-01,Wednesday,Evening,1896,255,819,Satellite Depot,Central
DC_016,North Urban Hub DC_016,2026-04-01,Wednesday,Morning,203,120,398,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-01,Wednesday,Afternoon,270,175,511,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-01,Wednesday,Evening,189,95,314,Urban Hub,North
DC_017,South Regional Center DC_017,2026-04-01,Wednesday,Morning,381,242,797,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-01,Wednesday,Afternoon,691,514,1390,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-01,Wednesday,Evening,403,226,671,Regional Center,South
DC_018,East Satellite Depot DC_018,2026-04-01,Wednesday,Morning,184,125,367,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-01,Wednesday,Afternoon,239,161,451,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-01,Wednesday,Evening,133,76,258,Satellite Depot,East
DC_019,West Urban Hub DC_019,2026-04-01,Wednesday,Morning,774,357,1132,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-01,Wednesday,Afternoon,834,465,1629,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-01,Wednesday,Evening,424,231,751,Urban Hub,West
DC_020,Central Regional Center DC_020,2026-04-01,Wednesday,Morning,251,169,538,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-01,Wednesday,Afternoon,556,299,987,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-01,Wednesday,Evening,290,176,557,Regional Center,Central
DC_021,North Satellite Depot DC_021,2026-04-01,Wednesday,Morning,1556,180,553,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-01,Wednesday,Afternoon,1995,239,802,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-01,Wednesday,Evening,1078,119,413,Satellite Depot,North
DC_022,South Urban Hub DC_022,2026-04-01,Wednesday,Morning,213,117,369,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-01,Wednesday,Afternoon,334,183,628,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-01,Wednesday,Evening,172,108,349,Urban Hub,South
DC_023,East Regional Center DC_023,2026-04-01,Wednesday,Morning,908,643,1672,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-01,Wednesday,Afternoon,1328,763,2385,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-01,Wednesday,Evening,817,466,1297,Regional Center,East
DC_024,West Satellite Depot DC_024,2026-04-01,Wednesday,Morning,289,156,502,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-01,Wednesday,Afternoon,467,328,900,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-01,Wednesday,Evening,207,131,391,Satellite Depot,West
DC_001,North Urban Hub DC_001,2026-04-02,Thursday,Morning,401,257,805,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-02,Thursday,Afternoon,643,382,1235,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-02,Thursday,Evening,331,194,610,Urban Hub,North
DC_002,South Regional Center DC_002,2026-04-02,Thursday,Morning,195,109,352,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-02,Thursday,Afternoon,261,147,485,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-02,Thursday,Evening,141,85,231,Regional Center,South
DC_003,East Satellite Depot DC_003,2026-04-02,Thursday,Morning,223,196,646,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-02,Thursday,Afternoon,368,345,1163,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-02,Thursday,Evening,237,212,730,Satellite Depot,East
DC_004,West Urban Hub DC_004,2026-04-02,Thursday,Morning,698,408,1205,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-02,Thursday,Afternoon,921,525,1582,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-02,Thursday,Evening,484,385,1061,Urban Hub,West
DC_005,Central Regional Center DC_005,2026-04-02,Thursday,Morning,111,59,188,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-02,Thursday,Afternoon,175,81,271,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-02,Thursday,Evening,81,51,145,Regional Center,Central
DC_006,North Satellite Depot DC_006,2026-04-02,Thursday,Morning,641,85,259,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-02,Thursday,Afternoon,1048,123,420,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-02,Thursday,Evening,666,66,221,Satellite Depot,North
DC_007,South Urban Hub DC_007,2026-04-02,Thursday,Morning,324,211,673,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-02,Thursday,Afternoon,529,286,1027,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-02,Thursday,Evening,355,214,672,Urban Hub,South
DC_008,East Regional Center DC_008,2026-04-02,Thursday,Morning,1516,169,539,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-02,Thursday,Afternoon,1862,257,744,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-02,Thursday,Evening,1166,128,361,Regional Center,East
DC_009,West Satellite Depot DC_009,2026-04-02,Thursday,Morning,339,173,619,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-02,Thursday,Afternoon,615,329,1048,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-02,Thursday,Evening,283,165,518,Satellite Depot,West
DC_010,Central Urban Hub DC_010,2026-04-02,Thursday,Morning,98,87,294,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-02,Thursday,Afternoon,123,102,382,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-02,Thursday,Evening,67,76,237,Urban Hub,Central
DC_011,North Regional Center DC_011,2026-04-02,Thursday,Morning,644,394,1203,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-02,Thursday,Afternoon,826,560,1617,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-02,Thursday,Evening,486,316,1009,Regional Center,North
DC_012,South Satellite Depot DC_012,2026-04-02,Thursday,Morning,536,348,1052,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-02,Thursday,Afternoon,1122,575,1735,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-02,Thursday,Evening,469,219,754,Satellite Depot,South
DC_013,East Urban Hub DC_013,2026-04-02,Thursday,Morning,415,267,726,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-02,Thursday,Afternoon,436,209,775,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-02,Thursday,Evening,329,182,584,Urban Hub,East
DC_014,West Regional Center DC_014,2026-04-02,Thursday,Morning,648,378,1182,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-02,Thursday,Afternoon,995,631,2012,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-02,Thursday,Evening,676,357,1186,Regional Center,West
DC_015,Central Satellite Depot DC_015,2026-04-02,Thursday,Morning,2832,345,994,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-02,Thursday,Afternoon,3840,423,1460,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-02,Thursday,Evening,1600,226,707,Satellite Depot,Central
DC_016,North Urban Hub DC_016,2026-04-02,Thursday,Morning,172,124,372,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-02,Thursday,Afternoon,281,157,505,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-02,Thursday,Evening,133,90,265,Urban Hub,North
DC_017,South Regional Center DC_017,2026-04-02,Thursday,Morning,624,310,901,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-02,Thursday,Afternoon,619,339,1070,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-02,Thursday,Evening,370,221,678,Regional Center,South
DC_018,East Satellite Depot DC_018,2026-04-02,Thursday,Morning,205,106,347,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-02,Thursday,Afternoon,277,166,539,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-02,Thursday,Evening,129,95,291,Satellite Depot,East
DC_019,West Urban Hub DC_019,2026-04-02,Thursday,Morning,631,387,1099,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-02,Thursday,Afternoon,886,494,1522,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-02,Thursday,Evening,511,331,964,Urban Hub,West
DC_020,Central Regional Center DC_020,2026-04-02,Thursday,Morning,335,220,674,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-02,Thursday,Afternoon,452,284,893,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-02,Thursday,Evening,248,146,463,Regional Center,Central
DC_021,North Satellite Depot DC_021,2026-04-02,Thursday,Morning,1328,191,524,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-02,Thursday,Afternoon,2158,309,937,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-02,Thursday,Evening,1629,172,484,Satellite Depot,North
DC_022,South Urban Hub DC_022,2026-04-02,Thursday,Morning,237,122,399,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-02,Thursday,Afternoon,427,246,711,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-02,Thursday,Evening,160,124,347,Urban Hub,South
DC_023,East Regional Center DC_023,2026-04-02,Thursday,Morning,663,545,1466,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-02,Thursday,Afternoon,1074,651,1935,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-02,Thursday,Evening,663,480,1275,Regional Center,East
DC_024,West Satellite Depot DC_024,2026-04-02,Thursday,Morning,345,179,611,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-02,Thursday,Afternoon,474,259,836,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-02,Thursday,Evening,265,194,519,Satellite Depot,West
DC_001,North Urban Hub DC_001,2026-04-03,Friday,Morning,488,261,825,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-03,Friday,Afternoon,537,363,1052,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-03,Friday,Evening,295,187,592,Urban Hub,North
DC_002,South Regional Center DC_002,2026-04-03,Friday,Morning,164,118,352,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-03,Friday,Afternoon,289,189,557,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-03,Friday,Evening,180,107,320,Regional Center,South
DC_003,East Satellite Depot DC_003,2026-04-03,Friday,Morning,354,395,987,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-03,Friday,Afternoon,390,503,1507,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-03,Friday,Evening,208,207,625,Satellite Depot,East
DC_004,West Urban Hub DC_004,2026-04-03,Friday,Morning,789,408,1322,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-03,Friday,Afternoon,1306,641,2099,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-03,Friday,Evening,682,432,1303,Urban Hub,West
DC_005,Central Regional Center DC_005,2026-04-03,Friday,Morning,102,76,203,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-03,Friday,Afternoon,172,87,312,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-03,Friday,Evening,77,60,168,Regional Center,Central
DC_006,North Satellite Depot DC_006,2026-04-03,Friday,Morning,730,101,292,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-03,Friday,Afternoon,978,140,424,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-03,Friday,Evening,519,70,201,Satellite Depot,North
DC_007,South Urban Hub DC_007,2026-04-03,Friday,Morning,368,257,686,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-03,Friday,Afternoon,469,310,921,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-03,Friday,Evening,231,147,467,Urban Hub,South
DC_008,East Regional Center DC_008,2026-04-03,Friday,Morning,1445,148,489,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-03,Friday,Afternoon,1676,249,799,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-03,Friday,Evening,1168,135,445,Regional Center,East
DC_009,West Satellite Depot DC_009,2026-04-03,Friday,Morning,359,255,757,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-03,Friday,Afternoon,582,316,1043,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-03,Friday,Evening,375,225,673,Satellite Depot,West
DC_010,Central Urban Hub DC_010,2026-04-03,Friday,Morning,106,96,321,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-03,Friday,Afternoon,135,133,385,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-03,Friday,Evening,76,74,214,Urban Hub,Central
DC_011,North Regional Center DC_011,2026-04-03,Friday,Morning,610,418,1270,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-03,Friday,Afternoon,950,528,1776,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-03,Friday,Evening,579,306,991,Regional Center,North
DC_012,South Satellite Depot DC_012,2026-04-03,Friday,Morning,594,383,1186,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-03,Friday,Afternoon,1132,618,1914,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-03,Friday,Evening,597,365,990,Satellite Depot,South
DC_013,East Urban Hub DC_013,2026-04-03,Friday,Morning,442,282,802,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-03,Friday,Afternoon,543,447,1132,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-03,Friday,Evening,326,161,558,Urban Hub,East
DC_014,West Regional Center DC_014,2026-04-03,Friday,Morning,768,551,1550,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-03,Friday,Afternoon,1056,665,2070,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-03,Friday,Evening,715,416,1319,Regional Center,West
DC_015,Central Satellite Depot DC_015,2026-04-03,Friday,Morning,2399,303,1000,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-03,Friday,Afternoon,4251,385,1289,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-03,Friday,Evening,2580,342,901,Satellite Depot,Central
DC_016,North Urban Hub DC_016,2026-04-03,Friday,Morning,183,105,374,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-03,Friday,Afternoon,320,202,580,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-03,Friday,Evening,170,109,310,Urban Hub,North
DC_017,South Regional Center DC_017,2026-04-03,Friday,Morning,489,318,1078,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-03,Friday,Afternoon,632,395,1287,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-03,Friday,Evening,379,245,799,Regional Center,South
DC_018,East Satellite Depot DC_018,2026-04-03,Friday,Morning,185,116,369,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-03,Friday,Afternoon,236,151,448,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-03,Friday,Evening,119,74,260,Satellite Depot,East
DC_019,West Urban Hub DC_019,2026-04-03,Friday,Morning,662,371,1274,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-03,Friday,Afternoon,901,610,1725,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-03,Friday,Evening,523,356,988,Urban Hub,West
DC_020,Central Regional Center DC_020,2026-04-03,Friday,Morning,377,198,702,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-03,Friday,Afternoon,603,358,1134,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-03,Friday,Evening,320,208,590,Regional Center,Central
DC_021,North Satellite Depot DC_021,2026-04-03,Friday,Morning,1582,204,569,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-03,Friday,Afternoon,2235,339,899,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-03,Friday,Evening,1118,141,475,Satellite Depot,North
DC_022,South Urban Hub DC_022,2026-04-03,Friday,Morning,239,156,451,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-03,Friday,Afternoon,294,179,571,Urban Hub,South
DC_022,South Urban Hub DC_022,2026-04-03,Friday,Evening,184,125,383,Urban Hub,South
DC_023,East Regional Center DC_023,2026-04-03,Friday,Morning,798,460,1452,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-03,Friday,Afternoon,1342,752,2380,Regional Center,East
DC_023,East Regional Center DC_023,2026-04-03,Friday,Evening,731,406,1290,Regional Center,East
DC_024,West Satellite Depot DC_024,2026-04-03,Friday,Morning,332,201,638,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-03,Friday,Afternoon,501,260,898,Satellite Depot,West
DC_024,West Satellite Depot DC_024,2026-04-03,Friday,Evening,333,189,498,Satellite Depot,West
DC_001,North Urban Hub DC_001,2026-04-04,Saturday,Morning,472,290,890,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-04,Saturday,Afternoon,1049,457,1462,Urban Hub,North
DC_001,North Urban Hub DC_001,2026-04-04,Saturday,Evening,497,277,833,Urban Hub,North
DC_002,South Regional Center DC_002,2026-04-04,Saturday,Morning,215,122,368,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-04,Saturday,Afternoon,296,217,655,Regional Center,South
DC_002,South Regional Center DC_002,2026-04-04,Saturday,Evening,200,106,376,Regional Center,South
DC_003,East Satellite Depot DC_003,2026-04-04,Saturday,Morning,297,292,932,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-04,Saturday,Afternoon,528,606,1772,Satellite Depot,East
DC_003,East Satellite Depot DC_003,2026-04-04,Saturday,Evening,282,283,844,Satellite Depot,East
DC_004,West Urban Hub DC_004,2026-04-04,Saturday,Morning,808,480,1523,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-04,Saturday,Afternoon,1099,665,2132,Urban Hub,West
DC_004,West Urban Hub DC_004,2026-04-04,Saturday,Evening,500,350,1000,Urban Hub,West
DC_005,Central Regional Center DC_005,2026-04-04,Saturday,Morning,103,61,192,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-04,Saturday,Afternoon,151,111,307,Regional Center,Central
DC_005,Central Regional Center DC_005,2026-04-04,Saturday,Evening,99,57,175,Regional Center,Central
DC_006,North Satellite Depot DC_006,2026-04-04,Saturday,Morning,914,97,319,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-04,Saturday,Afternoon,1488,180,471,Satellite Depot,North
DC_006,North Satellite Depot DC_006,2026-04-04,Saturday,Evening,686,85,260,Satellite Depot,North
DC_007,South Urban Hub DC_007,2026-04-04,Saturday,Morning,411,237,790,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-04,Saturday,Afternoon,650,383,1082,Urban Hub,South
DC_007,South Urban Hub DC_007,2026-04-04,Saturday,Evening,321,226,675,Urban Hub,South
DC_008,East Regional Center DC_008,2026-04-04,Saturday,Morning,1306,146,423,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-04,Saturday,Afternoon,2035,244,757,Regional Center,East
DC_008,East Regional Center DC_008,2026-04-04,Saturday,Evening,1006,147,429,Regional Center,East
DC_009,West Satellite Depot DC_009,2026-04-04,Saturday,Morning,361,261,709,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-04,Saturday,Afternoon,621,385,1178,Satellite Depot,West
DC_009,West Satellite Depot DC_009,2026-04-04,Saturday,Evening,405,198,716,Satellite Depot,West
DC_010,Central Urban Hub DC_010,2026-04-04,Saturday,Morning,120,105,326,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-04,Saturday,Afternoon,158,142,454,Urban Hub,Central
DC_010,Central Urban Hub DC_010,2026-04-04,Saturday,Evening,99,86,288,Urban Hub,Central
DC_011,North Regional Center DC_011,2026-04-04,Saturday,Morning,696,461,1490,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-04,Saturday,Afternoon,1477,751,2269,Regional Center,North
DC_011,North Regional Center DC_011,2026-04-04,Saturday,Evening,557,358,1058,Regional Center,North
DC_012,South Satellite Depot DC_012,2026-04-04,Saturday,Morning,567,412,1260,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-04,Saturday,Afternoon,1077,634,1979,Satellite Depot,South
DC_012,South Satellite Depot DC_012,2026-04-04,Saturday,Evening,543,314,1065,Satellite Depot,South
DC_013,East Urban Hub DC_013,2026-04-04,Saturday,Morning,470,280,910,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-04,Saturday,Afternoon,588,328,1095,Urban Hub,East
DC_013,East Urban Hub DC_013,2026-04-04,Saturday,Evening,374,216,716,Urban Hub,East
DC_014,West Regional Center DC_014,2026-04-04,Saturday,Morning,794,525,1665,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-04,Saturday,Afternoon,1204,987,2335,Regional Center,West
DC_014,West Regional Center DC_014,2026-04-04,Saturday,Evening,1132,516,1376,Regional Center,West
DC_015,Central Satellite Depot DC_015,2026-04-04,Saturday,Morning,2668,385,1081,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-04,Saturday,Afternoon,3364,496,1476,Satellite Depot,Central
DC_015,Central Satellite Depot DC_015,2026-04-04,Saturday,Evening,2648,320,1026,Satellite Depot,Central
DC_016,North Urban Hub DC_016,2026-04-04,Saturday,Morning,247,165,471,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-04,Saturday,Afternoon,331,225,620,Urban Hub,North
DC_016,North Urban Hub DC_016,2026-04-04,Saturday,Evening,195,102,340,Urban Hub,North
DC_017,South Regional Center DC_017,2026-04-04,Saturday,Morning,537,319,982,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-04,Saturday,Afternoon,751,524,1494,Regional Center,South
DC_017,South Regional Center DC_017,2026-04-04,Saturday,Evening,360,249,748,Regional Center,South
DC_018,East Satellite Depot DC_018,2026-04-04,Saturday,Morning,177,108,346,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-04,Saturday,Afternoon,268,157,514,Satellite Depot,East
DC_018,East Satellite Depot DC_018,2026-04-04,Saturday,Evening,168,122,335,Satellite Depot,East
DC_019,West Urban Hub DC_019,2026-04-04,Saturday,Morning,726,444,1324,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-04,Saturday,Afternoon,963,583,2069,Urban Hub,West
DC_019,West Urban Hub DC_019,2026-04-04,Saturday,Evening,639,373,1188,Urban Hub,West
DC_020,Central Regional Center DC_020,2026-04-04,Saturday,Morning,416,253,791,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-04,Saturday,Afternoon,638,409,1192,Regional Center,Central
DC_020,Central Regional Center DC_020,2026-04-04,Saturday,Evening,301,194,601,Regional Center,Central
DC_021,North Satellite Depot DC_021,2026-04-04,Saturday,Morning,1608,221,664,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-04,Saturday,Afternoon,2558,368,1028,Satellite Depot,North
DC_021,North Satellite Depot DC_021,2026-04-04,Saturday,Evening,1629,224,601,Satellite Depot,North
DC_022,South Urban Hub DC_022,2026-04-04,Saturday,Morning,253,138,429,Urban Hub,South
